artist,description,duration,genre,popularity,ranking,sentiment,track,writers,year,black,female,single_genre
50 Cent,"Queens rapper Curtis Jackson came ready-made with a mythic backstory (he’d been shot nine times) and a pedigree of hot mixtapes. When he teamed up with Dr. Dre, he got the sound he needed to become a superstar. Dre actually came up with the spartan-yet-smooth track for “In Da Club” with Eminem protégés D12 in mind, intending to use it on the 8 Mile soundtrack. “50 walked into the studio and picked up a pen,” Dre said. “We were done in an hour. We just made some shit we wanted to hear.”",193466,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",70,444,"{'compound': -0.5574, 'neg': 0.04, 'neu': 0.96, 'pos': 0.0}",In Da Club',"Andre R. Young, Curtis Jackson, Mike Elizondo",2003,True,False,hip hop
T. Rex,"“I am my own fantasy. I am the ‘Cosmic Dancer,’” Marc Bolan said. His fantasy world was all encompassing. T. Rex began as Tolkien-loving hippie-folk gnomes, but by the time they recorded Electric Warrior in 1971, producer Tony Visconti helped them create a glam masterpiece; on the sky-skipping ballad “Cosmic Dancer,” Bolan shows the distracted child beneath his slithering get-it-on persona, singing “I was dancing when I was eight/Is it strange to dance so late,” at once hot, absurd, and disarmingly human.",270000,"['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",46,445,"{'compound': 0.6124, 'neg': 0.06, 'neu': 0.847, 'pos': 0.094}",Cosmic Dancer',Marc Bolan,1971,False,False,rock
Bruce Springsteen,"“I wrote it as a kiss-off to everybody who counted you out, put you down, or decided you weren’t good enough,” Springsteen wrote of the first roof-raising arena anthem of his career. The melody and cadence for “Rosalita” came from a Van Morrison-style song that Springteen played as a solo acoustic tune; it evolved into his riotously hard-charging set closer throughout the Seventies, a story of underdog rock & roll romance that he said was ripped straight from his real life — “even the names, Big Bones Billy, Weak Kneed Willy, all of ’em.”",420840,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",52,446,"{'compound': 0.7845, 'neg': 0.03, 'neu': 0.858, 'pos': 0.112}",Rosalita (Come Out Tonight)',Bruce Springsteen,1973,False,False,rock
The Beatles,"“Most people think it’s just a fast rock & roll song,” Lennon said. “Subconsciously, I was crying out for help. I didn’t realize it at the time; I just wrote the song because I was commissioned to write it for the movie.” Overwhelmed by Beatlemania, Lennon was eating “like a pig,” drinking too much, and “smoking marijuana for breakfast” — only 24 years old, he was already expressing nostalgia for his lost youth. “I don’t like the recording that much,” Lennon would later tell Rolling Stone. “We did it too fast, to try and be commercial.”",139560,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",70,447,"{'compound': -0.0, 'neg': 0.057, 'neu': 0.876, 'pos': 0.068}",Help!',"John Lennon, Paul McCartney",1965,False,False,rock
Erykah Badu,"“Why can’t we be alone sometimes?” Badu pleads at first — and then comes the swerve: Her man’s best friend, Tyrone, should come and get him and his things, stat. It presaged later R&B classics of the type, from TLC’s “No Scrubs” to Beyoncé’s “Irreplaceable.” The frank tone of “Tyrone” also helpfully deflated some of the hype surrounding the imperiously cool Badu, a leader of the budding neo-soul scene. “The more they get familiar with me, the more they see I’m not a spiritual-goddess leader without a flaw,” she said. “That makes people doubt you, because a lot of times people look at the messenger more than they wanna take the message.”",221866,"['afrofuturism', 'hip hop', 'neo soul', 'r&b', 'soul', 'urban contemporary']",51,448,"{'compound': 0.8591, 'neg': 0.038, 'neu': 0.852, 'pos': 0.11}",Tyrone',"Erica Wright, Erykah Badu, Norman Hurt",1997,True,True,soul
Blue Öyster Cult,"Blue Öyster Cult, a hard-rock band born out of the intellectual, Sixties hippie scene at Long Island’s Stony Brook University, had been kicking around a few years when they manifested this spooky death trip, which Rolling Stone deemed 1976’s best rock single — as engineer Shelly Yakus said at the end of the first take, “Guys, this is it!” Being the subject of Saturday Night Live’s infamous “More cowbell!” sketch made the song a punch line in the 2000s, but to hear it on the radio late at night is to be freaked out anew by singer-guitarist “Buck Dharma” Roeser crooning about Romeo, Juliet, and the “40,000 men and women every day” headed to the great beyond.",,,,449,"{'compound': 0.774, 'neg': 0.042, 'neu': 0.869, 'pos': 0.088}",(Don’t Fear) The Reaper',Donald Roeser,1976,False,False,other
Neil Young,"According to Crazy Horse guitarist Frank “Pancho” Sampedro, this song came to Young in a seizure dream: It’s an epic Western crammed into a roaring five minutes, and one of rock’s grizzliest coming-of-age stories. Young sings about a lone 22-year-old left to defend his no-account outlaw kin against government soldiers now that his daddy’s dead, with the corrosive majesty in Young’s frontier-grunge guitar mirroring his protagonist’s doomed dream of freedom. “It shows the futility of violence,” Young wrote. He originally recorded it in 1975 for his abandoned Chrome Dreams album, and returned to it four years later to open the plugged-in side of Rust Never Sleeps.",330480,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']",47,450,"{'compound': -0.7269, 'neg': 0.132, 'neu': 0.778, 'pos': 0.09}",Powderfinger',Neil Young,1979,False,False,rock
Migos feat. Lil Uzi Vert,"If cellphones gave rise to ringtone rap, social media gave us meme rap. The Atlanta trio Migos’ opus “Bad and Boujee” has become the latter’s keynote anthem, its “Raindrop, drop-top” hook inspiring scores of Twitter memes and Vine clips, and even showing up at the 2017 Women’s March on Washington, D.C. The trio’s Offset wrote the song’s hook, he told Rolling Stone, while “I had some little situations going on with life, family stuff going down, so I went downstairs to record. Sometimes that’s the best time to get music off — you might be mad, make some crazy shit.”",343150,"['atl hip hop', 'pop rap', 'rap', 'trap']",72,451,"{'compound': 0.34, 'neg': 0.053, 'neu': 0.882, 'pos': 0.066}",Bad and Boujee',"Robert Mandell, Kiari Cephus, Kirsnick Ball, Leland Wayne, Quavious Marshall, Symere Woods",2016,True,False,hip hop
Toto,"“It’s funny,” Toto drummer Jeff Porcaro said in 1985. “We thought ‘Africa’ was bold, and it did pretty good, but lyrically it didn’t make a dime of sense.” No matter — that instantly calming synthesizer riff, played on a Yamaha GS-1 “dialed in [to] those kalimba, marimba kind of sounds,” as Porcaro described it, does most of the talking, along with that soaring chorus. It hit Number One and has lived on as a yacht-rock touchstone; in 2019, Weezer’s affectionate cover made it ubiquitous all over again — a favor Toto returned by covering Weezer’s “Hash Pipe.”",295893,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",81,452,"{'compound': 0.9493, 'neg': 0.026, 'neu': 0.762, 'pos': 0.212}",Africa',"David Paich, Jeffrey Porcaro",1982,False,False,rock
Missy Elliot,"As producers, Elliott and Timbaland had already made their rhythmic impact on hip-hop and R&B before Missy’s first single. And some high-profile features had even introduced Elliott’s bobbing, whizzing rap style to audiences. But still, no one could have predicted “The Rain,” with its ghostly sample of Ann Peebles’ “I Can’t Stand the Rain,” memorable Beenie Man misquote (“Who got the keys to the jeep?”), and twitchy yet sleek beat. It made Elliott a star, and she and Tim the producers to beat.",251000,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",58,453,"{'compound': -0.4215, 'neg': 0.033, 'neu': 0.967, 'pos': 0.0}",The Rain (Supa Dupa Fly)',"Melissa Elliott, Ann Peebles, Bernard Miller, Don Bryant, Timothy Mosley, William Hart",1997,True,True,pop
Sister Nancy,"Nancy (a.k.a. Ophlin Russell) was the DJ (mic controller) for Kingston’s Stereophonic sound system when she met reggae producer Winston Riley in the late Seventies. “I really admired how he took recording serious,” Nancy said. “You couldn’t go into his studio and do any foolishness.” Their peak, “Bam Bam,” is one of the great early dancehall anthems, booming but bright, tough but playful — and it’s been sampled extensively by everyone from Lauryn Hill to Kanye West.",196506,"['dub', 'reggae', 'roots reggae']",63,454,"{'compound': 0.8956, 'neg': 0.021, 'neu': 0.832, 'pos': 0.147}",Bam Bam',Ophlin Russell,1982,True,True,reggae
Jefferson Airplane,"The song that brought acid rock to Middle America was a heady rock bolero written by vocalist Slick, reportedly after taking LSD and listening to Miles Davis’ Sketches of Spain. She first recorded it with her earlier band, the Great Society, before rebooting it with the Airplane. “Our parents read us stories like Peter Pan, Alice in Wonderland, and The Wizard of Oz,” Slick said. “They all have a place where children get drugs, and are able to fly or see an Emerald City or experience extraordinary animals and people.… And our parents are suddenly saying, ‘Why are you taking drugs?’ Well, hello!”",150640,"['acid rock', 'classic rock', 'folk rock', 'psychedelic rock', 'rock']",70,455,"{'compound': 0.8398, 'neg': 0.0, 'neu': 0.916, 'pos': 0.084}",White Rabbit',Grace Slick,1967,False,False,rock
Lana Del Rey,"For her second album, Del Rey went for a sound even more lush than on her debut, and the relentless strings of “Summertime Sadness” recall the soundtracks Angelo Badalamenti composed for David Lynch’s films. She wrote the song in Santa Monica. “I would sit under the telephone wires and listen to them sizzle in the warm air,” she recalled. “I felt happy in the warm weather, and started writing about how sad and gorgeous the summertime felt to me.” A year after its first release, Cedric Gervais’ dance remix turned the song into a Top 10 hit.",214912,"['art pop', 'pop']",73,456,"{'compound': 0.8555, 'neg': 0.03, 'neu': 0.832, 'pos': 0.139}",Summertime Sadness',"Elizabeth Grant, Rick Nowels",2012,False,True,pop
Bon Jovi,"Like his New Jersey model Bruce Springsteen, Bon Jovi concentrates on working-class heroes and heroines. “Livin’ on a Prayer,” co-written with guitarist Richie Sambora, pumped the everyday struggles of Tommy and Gina full of grandeur — guitar-pick slides, dramatic pauses, the inevitable key change — and continues to resonate today. “It’s great that we wrote songs so long ago that people can still relate to,” Bon Jovi said in 2005. “When I hear ‘Livin’ on a Prayer,’ I think to myself, ‘We wrote that. That song has really made its mark. I guess that works.'”",249293,"['glam metal', 'rock']",82,457,"{'compound': 0.9274, 'neg': 0.025, 'neu': 0.815, 'pos': 0.16}",Livin' on a Prayer',"Desmond Child, Jon Bon Jovi, Richie Sambora",1986,False,False,rock
Beck,"In 1992, 22-year-old Beck Hansen was scraping by as a video-store clerk while performing bizarro folk songs at L.A. coffeehouses. After friends offered to record some songs, Beck cut “Loser” in his producer’s kitchen. It became the centerpiece of the album Mellow Gold. At first people took “Loser” to be a mere novelty hit, but Beck knew better. “You’d have to be a total idiot to say, ‘I’m the slacker-generation guy. This is my generation.… we’re not gonna fuckin’ show up,'” he said. “I’d be laughed out of the room in an instant.”",235000,"['alternative rock', 'anti-folk', 'indie rock', 'modern rock', 'permanent wave', 'rock']",69,458,"{'compound': 0.5994, 'neg': 0.059, 'neu': 0.842, 'pos': 0.098}",Loser',"Beck Hansen, Karl F. Stephenson",1993,False,False,rock
